time,cpu,memory,storage,temp
06/07/21 11:10:00,1.60309,17.6172,4,46
06/07/21 11:11:00,1.65395,19.1731,4,46
06/07/21 11:12:00,1.7122,18.6602,4,48
06/07/21 11:13:00,1.71632,19.689,4,46
06/07/21 11:14:00,1.75183,20.0245,4,47
06/07/21 11:15:00,1.7852,19.9618,4,45
06/07/21 11:16:00,1.6892,19.8858,4,44
06/07/21 11:17:00,1.60389,19.9584,4,43
06/07/21 11:18:00,1.52728,19.9809,4,42
06/07/21 11:19:00,1.45838,19.9996,4,42
06/07/21 12:20:00,1.39549,19.9374,4,4206/07/21 13:47:01,1.46923,20.3893,4,44
06/07/21 13:48:01,1.4675,20.3595,4,44
06/07/21 13:49:01,1.46649,20.3736,4,44
06/07/21 13:50:01,1.4727,20.518,4,45
06/07/21 13:51:01,1.47859,20.6607,4,45
06/07/21 13:52:01,1.48304,21.4208,4,46
06/07/21 13:53:01,1.48413,21.0094,4,45
